treatment,outcome,method,ate,se,ci_lower,ci_upper,p_value,significant
high_quality_advice,total_reward,naive,0.0018384500551697283,0.0007467474243259084,0.00037482510349094787,0.0033020750068485085,0.019465630855416166,True
high_quality_advice,total_reward,regression,0.0015753004958405964,0.00038809523812745935,0.0007054320041723032,0.0022526677829093787,0.0,True
high_quality_advice,total_reward,ps_matching,0.00195468509984639,0.0008672113935494385,0.0002549507684894907,0.0036544194312032896,0.024279699132643717,True
high_quality_advice,total_reward,ipw,0.0016164072812563744,0.0006517132434882265,0.0005236893390641717,0.0030422876319400652,0.004,True
high_quality_advice,total_reward,doubly_robust,0.0016141929850621375,0.000456716566292102,0.0007190285151296176,0.0025093574549946577,0.0004087902596010551,True
high_quality_advice,sr_change,naive,0.0003868281372824761,0.00039145108818581316,-0.0003804159955617177,0.0011540722701266699,0.27390143634831526,False
high_quality_advice,sr_change,regression,0.0004400681830722154,0.00039136621735380323,-0.00016226344444253903,0.0012123497602246726,0.476,False
high_quality_advice,sr_change,ps_matching,0.00038824884792626707,0.0003914957726011389,-0.00037908286637196515,0.0011555805622244994,0.32143296272708577,False
high_quality_advice,sr_change,ipw,0.0004675904501549859,0.00044322386726419657,-4.714873285732024e-05,0.0014180465539288397,0.4,False
high_quality_advice,sr_change,doubly_robust,0.0005721787802541172,0.0004205028879216324,-0.00025200688007228223,0.0013963644405805167,0.1736081382009873,False
high_quality_advice,hp_change,naive,0.036187158795064296,0.056088292326626696,-0.07374589416512403,0.1461202117552526,0.5114863610511488,False
high_quality_advice,hp_change,regression,0.02409519822926165,0.054894102163855756,-0.09444194962082553,0.1257730763185629,0.596,False
high_quality_advice,hp_change,ps_matching,-0.021927803379416275,0.04553109457888616,-0.11116874875403315,0.06731314199520061,0.6301301704435529,False
high_quality_advice,hp_change,ipw,0.024517491281467726,0.058017300724962625,-0.08975699607365664,0.13923904195545792,0.684,False
high_quality_advice,hp_change,doubly_robust,0.024576328072748004,0.05713422983196815,-0.08740676239790957,0.1365594185434056,0.6670860327110124,False
high_quality_advice,positive_reward_rate,naive,0.00012097675659692922,0.00036713218600840713,-0.0005986023279795488,0.0008405558411734072,0.7549728896519067,False
high_quality_advice,positive_reward_rate,regression,-4.820969217841676e-06,0.00020016054828460062,-0.0004300890840842859,0.0003948703303567072,1.004,False
high_quality_advice,positive_reward_rate,ps_matching,0.00019201228878648233,0.0004293360417328838,-0.0006494863530099699,0.0010335109305829346,0.6547456570323,False
high_quality_advice,positive_reward_rate,ipw,1.6493375698466796e-05,0.00032971962621229753,-0.0006996326094288729,0.000532671120591082,0.924,False
high_quality_advice,positive_reward_rate,doubly_robust,1.5651498832849623e-05,0.00022177091242375733,-0.00041901948951771474,0.000450322487183414,0.9437359480036087,False
specific_advice,total_reward,naive,0.0018386148001656773,0.0007460749508183677,0.00037630789656167667,0.003300921703769678,0.01948979298592474,True
specific_advice,total_reward,regression,0.0015785378446373404,0.0003714981257971295,0.0007502737018357987,0.0022172074089330755,0.0,True
specific_advice,total_reward,ps_matching,0.0019530046224961477,0.0008699902505392018,0.0002478237314393122,0.003658185513552983,0.02486116154616358,True
specific_advice,total_reward,ipw,0.001619718269207853,0.0006793449743194983,0.00035045540776499506,0.0030782189719249743,0.02,True
specific_advice,total_reward,doubly_robust,0.0016176552921862077,0.00045768319242225723,0.0007205962350385835,0.0025147143493338318,0.00040863510059563346,True
specific_advice,sr_change,naive,0.0003879852863287354,0.00039265572757501234,-0.00038161993971828873,0.0011575905123757594,0.2726067526104007,False
specific_advice,sr_change,regression,0.0004406299640238134,0.00039820807794697553,-0.00013476403860648536,0.0012538638494044168,0.524,False
specific_advice,sr_change,ps_matching,0.0003894453004622494,0.00039267366223795253,-0.0003801950775241375,0.0011590856784486363,0.32139804834729313,False
specific_advice,sr_change,ipw,0.0004677109172080044,0.0004672620682510255,-5.3845524141186715e-05,0.00143937363419508,0.356,False
specific_advice,sr_change,doubly_robust,0.0005717380564421518,0.0004205251724183203,-0.00025249128149775596,0.0013959673943820595,0.17396253748499024,False
specific_advice,hp_change,naive,0.03597421908486219,0.05614720379876005,-0.07407430036070752,0.1460227385304319,0.5140956659812048,False
specific_advice,hp_change,regression,0.024296406484893,0.05196264183805273,-0.08042263852215514,0.1296616194217111,0.632,False
specific_advice,hp_change,ps_matching,-0.02199537750385207,0.045671399850365314,-0.11151132121056809,0.06752056620286395,0.6301302482887614,False
specific_advice,hp_change,ipw,0.02475243603029509,0.05739416181755323,-0.09302111423017895,0.13620725795166946,0.564,False
specific_advice,hp_change,doubly_robust,0.02479121668587377,0.05717356660397657,-0.08726897385792032,0.13685140722966785,0.6645693030227156,False
specific_advice,positive_reward_rate,naive,0.00011960329948762404,0.0003667764757868966,-0.0005992785930546933,0.0008384851920299415,0.7577346699491613,False
specific_advice,positive_reward_rate,regression,-4.542478815180452e-06,0.00019639008587964932,-0.0004210377817269284,0.0003564874407364928,0.984,False
specific_advice,positive_reward_rate,ps_matching,0.0001926040061633282,0.000430659060229319,-0.0006514877518861371,0.0010366957642127935,0.6547457335321072,False
specific_advice,positive_reward_rate,ipw,1.6818129237213014e-05,0.000337878611885508,-0.00047183848510651575,0.0007444795788200855,0.94,False
specific_advice,positive_reward_rate,doubly_robust,1.606327138670855e-05,0.0002222360551495468,-0.00041951939670640317,0.00045164593947982025,0.9423789041362758,False
combat_advice,total_reward,naive,-0.0010124690567965937,0.0005764089617095182,-0.0021422306217472493,0.00011729250815406198,0.22954320160035402,False
combat_advice,total_reward,regression,-0.0009175002868801093,0.000361142885554322,-0.001836555366453969,-0.00044631176230176524,0.004,True
combat_advice,total_reward,ps_matching,-0.0005418719211822661,0.001102620913085068,-0.0027030089108289993,0.0016192650684644671,0.6231744070175611,False
combat_advice,total_reward,ipw,-0.0009555747238521074,0.000616981997699837,-0.0018802586041745805,0.0003824728220540545,0.152,False
combat_advice,total_reward,doubly_robust,-0.000866954553711051,0.0003018780779314099,-0.0014586355864566144,-0.0002752735209654876,0.004080509693595191,True
combat_advice,sr_change,naive,-0.00030039876839022526,0.00025760448861887906,-0.0008053035660832282,0.00020450602930277768,0.42747987668216647,False
combat_advice,sr_change,regression,-0.0003227207926120149,0.00028916556992187296,-0.0010578263977753285,2.4571263449788554e-06,0.064,False
combat_advice,sr_change,ps_matching,-6.568144499178944e-05,3.924935113713404e-05,-0.00014261017322057215,1.1247283236993276e-05,0.09441193352474642,False
combat_advice,sr_change,ipw,-0.00030558952085654154,0.000270932258361898,-0.0008752711193423715,2.1543264759904854e-05,0.112,False
combat_advice,sr_change,doubly_robust,-0.00029376938228106296,0.00025454060116530215,-0.0007926689605650552,0.00020513019600292926,0.2484526116046708,False
combat_advice,hp_change,naive,-0.09856338375194507,0.06533905803601707,-0.2266279375025385,0.02950116999864838,0.09487517174932189,False
combat_advice,hp_change,regression,0.015956698746492193,0.05923586770934045,-0.07951572577153769,0.14658515946433534,0.816,False
combat_advice,hp_change,ps_matching,-0.10147783251231526,0.06148709947885722,-0.2219925474908754,0.01903688246624488,0.09903471049121282,False
combat_advice,hp_change,ipw,0.06148600759815414,0.12506155897889099,-0.11037164829223166,0.3347885194384731,0.712,False
combat_advice,hp_change,doubly_robust,0.27605016319992703,0.10207241339046035,0.07598823295462476,0.4761120934452293,0.006841670835663782,True
combat_advice,positive_reward_rate,naive,0.00037764350453172205,0.00028141506270859356,-0.00017393001837712131,0.0009292170274405654,0.3628790865646834,False
combat_advice,positive_reward_rate,regression,0.00042314478976176263,0.00017508018643775161,0.0,0.0006392928526621947,0.232,False
combat_advice,positive_reward_rate,ps_matching,0.0005473453749315818,0.0005471955609490488,-0.0005251579245285539,0.0016198486743917175,0.31731056226113563,False
combat_advice,positive_reward_rate,ipw,0.00040370687925769556,0.00030107140300470966,0.0,0.0010768790814993376,0.232,False
combat_advice,positive_reward_rate,doubly_robust,0.00040318310037924413,0.0002245521981017917,-3.693920790026763e-05,0.0008433054086587558,0.0725743359770128,False
